VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
7.93,6.68,3.83,8.9,10.66,IM
8.23,5.94,5.51,12.17,12.03,IM
2.36,131.94,135.83,1.19,4.78,IM
5.55,7.42,8.04,15.87,12.51,IM
9.78,2.04,5.01,2.44,1.63,IM
6.4,16.27,10.24,23.52,13.38,IM
7.13,9.03,7.58,16.86,15.16,IM
7.81,6.73,5.46,12.44,12.49,IM
0.67,210.83,210.88,0.69,3.75,IM
8.04,6.81,3.75,8.98,10.82,IM
3.46,10.75,6.49,2.7,8.34,IM
6.52,4.08,3.96,1.23,6.82,IM
3.65,3.62,1.94,29.2,6.46,IM
7.41,6.57,5.34,10.98,13.34,IM
2.94,30.97,18.68,7.57,4.71,IM
5.94,8.55,8.17,17.93,6.46,IM
2.36,132.8,135.74,2.37,4.78,IM
4.1,7.87,7.04,10.4,8.97,IM
4.13,9.92,7.84,10.13,1.93,IM
7.5,8.09,5.51,12,14.9,IM
2.8,33.55,40.74,22.66,6.93,IM
6.39,12.47,9.88,22.24,13.63,IM
7.5,7.38,4.73,3.04,6.5,IM
8,11.79,10,14.44,14.9,IM
2.17,132.18,134.84,1.65,4.78,IM
7.33,16.08,10.87,15.78,14.9,IM
7.72,7.36,3.32,2.55,12.48,IM
3.49,2.38,18.1,4.79,2.91,IM
3.49,5.83,6.85,5.74,2.91,IM
8.08,6.99,5.84,14.27,13.47,IM
0.33,285.79,285.37,0.05,2.82,IM
7.56,6.39,4.92,9.84,13.24,IM
7.47,6.66,6.22,13.62,12.2,IM
6.57,8.75,6.46,13.81,13.78,IM
8.22,5.75,2.08,4.34,11.76,IM
2.36,132.89,135.63,2.23,4.78,IM
3.24,18.27,16.1,25.74,6.71,IM
4.25,2.41,4.05,16.31,11.73,IM
7,0.11,6.56,21.22,13.21,SS
5.5,0.36,2.31,6.5,11.53,SS
5.4,0.34,3.15,4.64,13.38,SS
8.8,0.09,1.03,3.2,13.38,SS
8.47,0.1,3.42,0.16,14.43,SS
8.27,0.11,4.17,1.52,14.7,SS
8,0.12,4.92,3.61,14.87,SS
7.83,0.12,5.28,4.78,14.9,SS
7.46,0.12,5.89,7.05,14.78,SS
7.14,0.13,6.26,8.65,14.53,SS
6.97,0.13,6.4,9.38,14.35,SS
