VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
8.67775,0.05834,1.946,12.29,4.15168,BCC
5.2,0.08599,3.669,13.38,14.24,BCC
8.30833,0.0606,1.069,10.5,4.82039,FCC
4.755,0.1834,6.107,12.11,2.5382,BCC
7.5,0.08177,5.399,14.9,5.11111,BCC
8.04,0.08443,3.453,13.93,4.6695,Multiphase
4.6,0.02469,5.902,13.38,14.56,Multiphase
8.324,0.05675,1.787,10.08,9.70592,FCC
7.8,0.1259,10.619,13.38,14.4,Multiphase
7.16,0.08428,6.788,12.37,25.827,Multiphase
8.7,0.09464,4.521,10.92,5.04,Multiphase
8.4285,0.0533,1.954,11.95,5.56249,FCCBCC
8.356,0.0563,1.427,9.87,10.0112,FCC
8.944,0.02349,1.626,9.56,2.14392,Multiphase
4.6,0.12842,8.678,13.38,34.08,Multiphase
4.4,0.08133,4.994,13.38,2.72,BCC
8.335,0.05494,2.647,12.3,4.68753,BCC
4.74625,0.19118,5.374,11.73,1.99,BCC
4.8,0.25244,6.874,13.38,5.6,BCC
8.23867,0.05791,2.489,10.48,8.90592,BCC
8.23625,0.05432,1.476,12.13,3.96386,FCC
5,0.14369,4.076,11.53,2.75,BCC
7.048,0.10013,3.866,12.02,7.44494,Multiphase
8.985,0.06399,1.257,9.57,3.9732,FCCBCC
8.3838,0.08019,3.277,13.51,2.55296,FCCBCC
5,0.1461,7.483,16.18,4.40816,BCC
4.5025,0.21809,6.391,11.73,3.44519,BCC
8.675,0.05535,2.729,14.12,1.2867,Multiphase
4.75188,0.18452,6.034,11.81,2.51475,BCC
4.6,0.19518,6.097,13.38,1.6,BCC
6.27125,0.08289,5.042,12.14,20.7447,BCC
7.70667,0.05325,1.127,10.2,2.80737,Multiphase
6,0.1285,6.534,13.38,13.44,Multiphase
5.79067,0.05807,6.721,10.1,10.3484,Multiphase
4.4,0.22135,5.889,13.38,6.08,Multiphase
7.1744,0.06778,5.84,13.66,13.1966,Multiphase
6.814,0.13588,10.201,13.78,31.1936,Multiphase
7.7592,0.0614,4.29,13.03,8.35211,Multiphase
10.6,0.10913,4.379,13.38,6.56,FCC
8.17125,0.05466,1.835,12,4.55439,BCC
5,0.2185,6.059,13.38,5.28,BCC
5,0.15541,11.655,13.38,22.88,Multiphase
4.34667,0.07788,5.282,9.77,2.37813,Multiphase
8.23538,0.05365,1.034,11.71,4.06575,Multiphase
4.8,0.19718,6.301,13.38,1.12,BCC
7.31,0.06674,5.052,11.5,9.5868,Multiphase
7.6936,0.05349,1.308,10.06,3.23434,Multiphase
5.5562,0.14916,24.403,7.29,42.4319,FCC
7.984,0.06228,2.519,11.82,10.4438,Multiphase
8.684,0.05275,2.249,13.93,2.08544,FCCBCC
8.33333,0.11163,4.3,14.9,7.66667,Multiphase
7.5,0.07807,3.299,14.9,7.55556,FCCBCC
4.4975,0.08697,6.603,11.73,0.98132,Multiphase
7.76625,0.08115,3.577,11.73,3.79593,FCC
8.04,0.07113,1.202,7.85,5.8948,FCCBCC
9.4542,0.01426,1.023,6.2,0.6309,Multiphase
8.6235,0.05709,2.383,12.15,3.59659,Multiphase
4.33967,0.0843,5.118,9.62,2.25492,Multiphase
4.988,0.15512,4.08,11.76,3.13458,BCC
8.1995,0.05435,1.565,11.92,4.3406,FCC
4.503,0.02255,1.253,5.98,1.94618,BCC
7.82967,0.06673,5.291,14.99,4.75869,FCCBCC
9.25,0.07382,4.393,11.53,2,FCC
7.1835,0.06816,5.843,13.65,12.7076,Multiphase
8.075,0.07687,3.176,13.29,4.1144,FCC
9.766,0.03694,1.893,3.03,1.90362,FCC
8.016,0.08707,4.8,13.69,5.79127,FCC
7.312,0.08049,6.786,13.93,17.1163,BCC
8.22875,0.05414,1.263,11.73,4.14542,Multiphase
7.666,0.06564,5.436,13.01,11.8248,Multiphase
7.378,0.08029,6.715,13.58,16.5234,Multiphase
7.1945,0.06793,5.807,13.49,12.45,Multiphase
4.49625,0.06725,4.837,11.64,2.21071,Multiphase
7.975,0.07843,3.396,13.58,4.44088,FCC
8.27067,0.05748,2.255,10.35,9.20352,BCC
6.80375,0.07001,6.258,12.5,13.4798,FCCBCC
7.5,0.05666,4.428,11.89,7.14,FCC
6.34453,0.05215,2.714,9.49,4.30515,BCC
7.998,0.07835,3.29,13.4,4.18258,FCC
7.996,0.07836,3.299,13.42,4.20515,FCC
8.21325,0.05385,1.283,11.79,4.12865,Multiphase
7.4925,0.06515,6.241,11.73,13.7223,FCC
